Row,5-percentile distance,Pol II Ser5P level,Pol II Ser2P level
Oblong_drll2,0.542434621034166,1.18605570759425,1.24428320725367
Sphere_drll2,0.424415351264652,1.1661751797485,1.19413874242688
Dome_drll2,0.629373391727846,1.07612186822075,1.12749505758576
Epi30_drll2,0.665704527138349,1.08281355476019,1.10247482823806
Epi50_drll2,0.826828139496866,1.07120296371127,1.09860589656575
Oblong_zgc:64022,0.400235815609892,1.18175062712415,1.1315140785823
Sphere_zgc:64022,0.431850128558791,1.14076944391962,1.06729888295332
Dome_zgc:64022,0.537475149649884,1.11648380633799,1.03888778239553
Epi30_zgc:64022,0.785117874860757,1.05291773364716,1.028701581776
Epi50_zgc:64022,0.955295845351195,1.03065617111768,1.05053430187334
Oblong_vamp2,0.604584290436275,1.1148890854351,1.1078870339603
Sphere_vamp2,0.562063012974851,1.07787765511835,1.08588693894673
Dome_vamp2,0.69320265668703,1.03978604654295,1.04478661145475
Epi30_vamp2,0.325600844048955,1.14615862964052,1.04346428675781
Epi50_vamp2,0.701642270591958,1.07337411077682,1.05816459043979
Oblong_klf2b,0.439835227231826,1.10152135137062,1.06535978934572
Sphere_klf2b,0.409641972342157,1.11103929628688,1.00575193962754
Dome_klf2b,0.625877288983367,1.02240878830537,1.01899432734286
Epi30_klf2b,0.834841406531805,1.04121408834318,1.05802909803321
Epi50_klf2b,0.768544538832705,1.02483784985333,1.03912605921823
Oblong_foxd5,0.499221541648486,1.1277307810117,1.02619415162994
Sphere_foxd5,0.720087683013655,1.03994069575168,1.03045412832103
Dome_foxd5,0.227936463576875,1.16941388164885,1.04856051859922
Epi30_foxd5,0.0981677203124866,1.20435337111172,1.03595497635824
Epi50_foxd5,0.750232040459315,1.04456631934217,1.05549659442229
Oblong_gadd45ga,0.599552102755168,1.12270844826504,1.06883143521303
Sphere_gadd45ga,0.617348949025203,1.07159683924677,1.05688619629709
Dome_gadd45ga,0.828102215156168,1.04196924551295,1.08437928659234
Epi30_gadd45ga,0.784576871817605,1.02242967171971,1.04664804507955
Epi50_gadd45ga,0.729203332492009,1.0309582236325,1.04176538419215
Oblong_iscub,0.435709417466785,1.09577980492933,1.06027079928924
Sphere_iscub,0.492552908854071,1.0569216626641,1.06364041366151
Dome_iscub,0.6885920963191,1.06058469654276,1.00968333391543
Epi30_iscub,0.769972355807011,1.02734799694981,1.05656231367402
Epi50_iscub,0.569838636616296,1.05315924351784,1.05150834424084
Oblong_ripply1,0.859651492294304,1.02132523159178,1.01625587884155
Sphere_ripply1,0.681964097240937,1.08400091993108,1.01566303588392
Dome_ripply1,0.852495889842084,1.03358764446514,1.04981930588733
Epi30_ripply1,0.353976528032879,1.15660382268807,1.04272229385917
Epi50_ripply1,0.473438919598581,1.12750010506016,1.05845850807575
