,Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation
0,1,10,1,,85.3705,0.0,72.15,
1,1,10,1,,2.0205,0.0,1.0,
2,1,10,1,,54.9425,0.0,38.8,
3,1,10,1,,2.6895,0.0,0.0,
4,1,10,1,,1.81,0.0,0.0,
5,1,10,1,,1.502,0.0,0.0,
6,1,10,1,,1.57,0.0,0.0,
7,1,10,1,,2.5725,0.0,0.0,
8,1,10,1,,2.7105,0.0,0.0,
9,1,10,1,,2.1285,0.0,0.0,
10,1,10,1,,2.071,0.0,0.0,
11,1,10,1,,28.495,0.0,29.55,
12,1,10,1,,1.862,0.0,0.0,
13,1,10,1,,51.194,2.7027027027027026,44.0,113.20708654178615
14,1,10,1,,42.7985,0.0,32.55,
15,1,10,1,,27.515,5.405405405405405,21.1,115.84584800098435
16,1,10,1,,4.35,2.7027027027027026,3.0,125.24724535402339
17,1,10,1,,72.4575,2.7027027027027026,67.2,127.06366522329324
18,1,10,1,,49.271,0.0,40.05,
19,1,10,1,,2.2265,0.0,0.0,
20,1,10,1,,85.9085,0.0,75.6,
21,1,10,1,,2.537,0.0,0.0,
22,1,10,1,,81.8425,0.0,69.0,
23,1,10,1,,1.5575,0.0,0.0,
24,1,10,1,,2.0275,0.0,0.0,
25,1,10,1,,2.271,0.0,0.0,
26,1,10,1,,2.0915,0.0,0.0,
27,1,10,1,,74.7215,2.7027027027027026,59.0,138.22979684758826
28,1,10,1,,27.304,0.0,22.7,
29,1,10,1,,62.9775,0.0,59.3,
30,1,10,1,,34.4515,8.108108108108109,27.15,129.2421838465091
31,1,10,1,,75.227,0.0,62.85,
32,1,10,1,,3.7695,0.0,0.0,
33,1,10,1,,15.045,0.0,11.35,
34,1,10,1,,2.0,0.0,0.0,
35,1,10,1,,37.5085,0.0,28.15,
36,1,10,1,,8.9675,0.0,7.6,
37,1,10,1,,72.3705,2.7027027027027026,63.9,131.3939777934565
38,1,10,1,,2.1275,0.0,0.05,
39,1,10,1,,1.9345,0.0,0.0,
40,1,10,1,,70.838,0.0,57.7,
41,1,10,1,,6.1515,2.7027027027027026,4.65,123.47275403778916
42,1,10,1,,2.035,0.0,0.0,
43,1,10,1,,106.1415,5.405405405405405,82.9,118.2374597860117
44,1,10,1,,2.482,0.0,0.0,
45,1,10,1,,2.1505,0.0,0.0,
46,1,10,1,,51.161,0.0,45.5,
47,1,10,1,,2.0035,0.0,0.0,
48,1,10,1,,2.5695,0.0,0.0,
49,1,10,1,,2.2885,0.0,0.0,
50,1,10,1,,16.5055,2.7027027027027026,12.3,102.90702577990473
51,1,10,1,,2.036,0.0,0.0,
52,1,10,1,,1.7405,0.0,0.0,
53,1,10,1,,52.8805,5.405405405405405,44.3,135.55540882888448
54,1,10,1,,3.0685,0.0,0.0,
55,1,10,1,,80.9955,0.0,67.75,
56,1,10,1,,67.8395,0.0,60.55,
57,1,10,1,,2.7475,0.0,1.3,
58,1,10,1,,2.3505,0.0,0.0,
59,1,10,1,,3.625,2.7027027027027026,2.8,198.28409059695915
60,1,10,1,,102.5265,5.405405405405405,85.05,124.43978056813614
61,1,10,1,,91.9225,8.108108108108109,78.9,125.92481345162378
62,1,10,1,,67.0355,2.7027027027027026,53.25,134.97487579314546
63,1,10,1,,95.4285,0.0,77.25,
64,1,10,1,,1.9505,0.0,0.0,
65,1,10,1,,1.7675,0.0,0.0,
66,1,10,1,,75.93,0.0,55.0,
67,1,10,1,,9.0265,2.7027027027027026,6.0,129.31546521376023
68,1,10,1,,19.2565,0.0,12.4,
69,1,10,1,,2.725,0.0,0.0,
70,1,10,1,,37.486,6.594594594594595,29.0,134.7250361788657
71,1,10,1,,21.5595,5.405405405405405,24.05,124.85514106294596
72,1,10,1,,30.0715,2.7027027027027026,26.95,150.82543353042024
73,1,10,1,,1.9055,0.0,0.0,
74,1,10,1,,76.756,2.7027027027027026,69.45,120.67821703006575
75,1,10,1,,85.454,5.405405405405405,74.65,114.05302630372086
76,1,10,1,,72.8215,2.7027027027027026,71.0,119.57914327371714
77,1,10,1,,22.158,0.0,18.3,
78,1,10,1,,60.6235,0.0,45.15,
79,1,10,1,,2.9655,2.7027027027027026,0.2,293.02701760518954
80,1,10,1,,56.42,0.0,48.35,
81,1,10,1,,2.4565,0.0,0.0,
82,1,10,1,,57.071,2.7027027027027026,44.2,126.26515638084607
83,1,10,1,,3.113,0.0,0.2,
84,1,10,1,,2.251,0.0,0.0,
85,1,10,1,,106.6495,2.7027027027027026,85.35,121.75667558040126
86,1,10,1,,2.0915,0.0,0.0,
