Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
1,10,1,20.1255,0.540541,17.3,127.064
1,10,1,27.0812,0.540541,20.66,136.744
1,10,1,23.6527,0.540541,17.39,109.615
1,10,1,15.3823,0,12.15,0
1,10,1,3.396,1.08108,1.53,124.36
1,10,1,39.0749,0.562162,31.17,125.367
1,10,1,41.3691,1.62162,32.61,119.319
1,10,1,12.0407,0.540541,8.8,113.207
1,10,1,52.741,4.86486,45.55,129.698
1,10,1,29.8635,3.78378,22.61,159.359
1,10,1,34.36,1.08108,28.87,124.44
1,10,1,37.1321,0.540541,28.42,102.907
1,10,1,43.8453,2.94054,39.28,132.543
1,10,1,50.048,1.62162,41.85,122.112
1,10,1,32.7803,0.540541,27.22,131.394
1,10,1,23.3002,0.540541,17.16,134.975
1,10,1,27.8252,2.16216,23.04,126.772
1,10,1,38.9887,0.540541,30.62,121.757
1,10,1,29.9635,0,24.61,0
1,10,1,20.5334,0,16.07,0
1,20,1,40.4839,2.16216,33.17,111.381
1,20,1,33.8363,1.08108,25.85,110.833
1,20,1,42.9991,1.08108,34.09,123.097
1,20,1,45.92,0.540541,35.94,131.144
1,20,1,37.4897,1.54595,29.88,120.374
1,20,1,7.9154,1.08108,5.43,119.028
1,20,1,2.4169,0,0.15,0
1,20,1,19.1235,0.540541,13.66,135.066
1,20,1,10.6554,2.16216,7.7,156.779
1,20,1,10.5256,0.540541,9.52,146.784
1,20,1,42.1143,1.42703,32.81,122.27
1,20,1,23.3632,0,19.01,0
1,20,1,35.8006,1.08108,28.89,112.178
1,20,1,24.5219,1.42703,20.64,177.098
1,20,1,21.3486,0.540541,15.48,159.531
1,20,1,19.5034,0.540541,16.31,114.769
1,20,1,16.7094,0.540541,14.15,144.595
1,20,1,3.1708,0,0.92,0
1,20,1,31.641,1.62162,26.77,115.525
1,20,1,21.0999,3.24324,17.93,113.387
1,30,1,9.6084,0,7.81,0
1,30,1,30.9705,1.62162,24.03,125.884
1,30,1,1.7504,0,0.09,0
1,30,1,21.2963,2.16216,17.77,119.937
1,30,1,37.5103,1.08108,33.02,134.434
1,30,1,10.1493,0.540541,6.94,157.659
1,30,1,37.1459,1.62162,30.31,115.746
1,30,1,44.6311,1.08108,36.49,126.463
1,30,1,17.6827,0.540541,12.61,130.397
1,30,1,2.4726,0,0.02,0
1,30,1,22.4599,1.62162,18.04,129.916
1,30,1,30.2002,0.540541,23.57,115.753
1,30,1,46.3678,0.540541,37.63,115.973
